82024,Roraima
82042,Roraima
82533,Amazonas
82336,Amazonas
82106,Amazonas
82610,Amazonas
82098,Amapa
82178,Para
82668,Para
82191,Para
82460,Maranhao
82768,Maranhao
82376,Maranhao
82879,Piaui
82975,Piaui
82480,Piaui
82915,Acre
82807,Acre
82723,Rondonia
83214,Mato Grosso
83363,Mato Grosso
83270,Mato Grosso
82659,Tocantins
83064,Tocantins
83235,Tocantins
83464,Goias
83332,Goias
83522,Goias
82979,Bahia
83292,Bahia
83286,Bahia
82586,Ceara
82397,Ceara
82784,Ceara
82590,Rio Grande do Norte
82596,Rio Grande do Norte
82693,Rio Grande do Norte
82689,Paraiba
82798,Paraiba
82795,Paraiba
82753,Pernambuco
82890,Pernambuco
82900,Pernambuco
82989,Alogoas
82994,Alogoas
82992,Alogoas
83096,Sergipe
83195,Sergipe
83097,Sergipe
83587,Minas Gerais
83579,Minas Gerais
83437,Minas Gerais
83377,Distrito Federal
83669,Sao Paulo
83781,Sao Paulo
83623,Sao Paulo
83813,Parana
83842,Parana
83767,Parana
83919,Santa Catarina
83844,Santa Catarina
83914,Rio Grande do Sul
83980,Rio Grande do Sul
83967,Rio Grande do Sul
83358,Motto Grosso do Sul
83565,Motto Grosso do Sul
83114,Rio de Janeiro
83695,Rio de Janeiro
83738,Rio de Janeiro
83648,Espirito Santo
83013,Espirito Santo
83557,Espirito Santo